E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0030;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Lassi                                             ;Kivinen                                           ;1;039;myyntipäällikkö                                                                                                                                                                                         ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0031;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Mari                                              ;Kivinen                                           ;2;039;erikoistutkija, filosofian tohtori                                                                                                                                                                      ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0032;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Ville                                             ;Kivinen                                           ;1;029;opiskelija                                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000037;
E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0033;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Aarne                                             ;Leinonen                                          ;1;030;palvelumuotoilija, tohtoriopiskelija                                                                                                                                                                    ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0034;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Milla                                             ;Louhi                                             ;2;057;ensihoitaja                                                                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0035;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Jukka-Pekka                                       ;Muotio                                            ;1;037;insinööri (AMK)                                                                                                                                                                                         ;200;Buchs, Sveitsi                          ;Buchs, Sveitsi                          ;FI; ; ; ; ;EKV-2019  ;0000079;
E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0036;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Jukka                                             ;Mähönen                                           ;1;059;osuuskuntaoikeuden professori, oikeustieteen tohtori                                                                                                                                                    ;200;Oslo, Norja                             ;Oslo, Norja                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0037;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Jani                                              ;Mäkinen                                           ;1;038;sovellusarkkitehti                                                                                                                                                                                      ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0038;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Anssi                                             ;Porttikivi                                        ;1;059;tietoturva-asiantuntija                                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0039;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Janne                                             ;Rantanen                                          ;1;043;johtaja, diplomi-insinööri                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
